Alert ID,Policy Name,Policy Type,Description,Policy Labels,Policy Severity,Resource Name,Cloud Type,Cloud Account Id,Cloud Account Name,Region,Recommendation,Alert Status,Alert Time,Event Occurred,Dismissed On,Dismissed By,Dismissal Reason,Resolved On,Resolution Reason,Resource ID
N-53748,AWS EC2 instance that is internet reachable with unrestricted access (0.0.0.0/0),network,"This policy identifies AWS EC2 instances that are internet reachable with unrestricted access (0.0.0.0/0). EC2 instances with unrestricted access to the internet may enable bad actors to use brute force on a system to gain unauthorised access to the entire network. As a best practice, restrict traffic from unknown IP addresses and limit the access to known hosts, services, or specific entities.",Prisma_Cloud,high,vac,aws,185667631720,wistron_cto_wisleep_ey,AWS Ohio,"The following steps are recommended to restrict unrestricted access from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the instance inside a restrictive subnet if the instance does not need to be publicly accessible.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective instance.",open,"Sep 13, 2022 02.13 CST Asia/Taipei",,,,,,,i-0d86f161e20523c1c
N-53640,AWS EC2 instance that is internet reachable with unrestricted access (0.0.0.0/0),network,"This policy identifies AWS EC2 instances that are internet reachable with unrestricted access (0.0.0.0/0). EC2 instances with unrestricted access to the internet may enable bad actors to use brute force on a system to gain unauthorised access to the entire network. As a best practice, restrict traffic from unknown IP addresses and limit the access to known hosts, services, or specific entities.",Prisma_Cloud,high,vac-gx,aws,185667631720,wistron_cto_wisleep_ey,AWS Ohio,"The following steps are recommended to restrict unrestricted access from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the instance inside a restrictive subnet if the instance does not need to be publicly accessible.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective instance.",open,"Sep 13, 2022 02.13 CST Asia/Taipei",,,,,,,i-061eee4b25bcbc443
N-53745,AWS EC2 instance that is internet reachable with unrestricted access (0.0.0.0/0),network,"This policy identifies AWS EC2 instances that are internet reachable with unrestricted access (0.0.0.0/0). EC2 instances with unrestricted access to the internet may enable bad actors to use brute force on a system to gain unauthorised access to the entire network. As a best practice, restrict traffic from unknown IP addresses and limit the access to known hosts, services, or specific entities.",Prisma_Cloud,high,thermal-node-server,aws,186586636733,wistron_cto_wisleep_mc,AWS Ohio,"The following steps are recommended to restrict unrestricted access from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the instance inside a restrictive subnet if the instance does not need to be publicly accessible.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective instance.",open,"Sep 13, 2022 02.13 CST Asia/Taipei",,,,,,,i-032a6a5403872bd9c
N-53744,AWS EC2 instance that is internet reachable with unrestricted access (0.0.0.0/0),network,"This policy identifies AWS EC2 instances that are internet reachable with unrestricted access (0.0.0.0/0). EC2 instances with unrestricted access to the internet may enable bad actors to use brute force on a system to gain unauthorised access to the entire network. As a best practice, restrict traffic from unknown IP addresses and limit the access to known hosts, services, or specific entities.",Prisma_Cloud,high,test-op-andarx,aws,185667631720,wistron_cto_wisleep_ey,AWS Ohio,"The following steps are recommended to restrict unrestricted access from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the instance inside a restrictive subnet if the instance does not need to be publicly accessible.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective instance.",open,"Sep 13, 2022 02.13 CST Asia/Taipei",,,,,,,i-061f98f6fadbddb6b
N-53522,AWS RDS managed ENI reachable from any untrust internet source,network,This policy identifies Network interfaces attached to RDS instances that are exposed to inbound traffic from any untrust internet source. RDS instances exposed to the internet are prone to external security threats. It is highly recommended to restrict network interfaces that are attached to the RDS instance to known hosts or services only.,Prisma_Cloud,high,eni-0ce2ff16165e34e66,aws,362710435132,Wistron-PD-WiWall,AWS Oregon,"The following steps are recommended to restrict traffic from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the RDS database instance inside a restrictive subnet.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective RDS database instance.",open,"Sep 13, 2022 02.13 CST Asia/Taipei",,,,,,,eni-0ce2ff16165e34e66
N-53729,AWS RDS managed ENI reachable from any untrust internet source,network,This policy identifies Network interfaces attached to RDS instances that are exposed to inbound traffic from any untrust internet source. RDS instances exposed to the internet are prone to external security threats. It is highly recommended to restrict network interfaces that are attached to the RDS instance to known hosts or services only.,Prisma_Cloud,high,eni-1baf982d,aws,362710435132,Wistron-PD-WiWall,AWS Oregon,"The following steps are recommended to restrict traffic from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the RDS database instance inside a restrictive subnet.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective RDS database instance.",open,"Sep 13, 2022 02.13 CST Asia/Taipei",,,,,,,eni-1baf982d
N-53628,AWS RDS managed ENI reachable from any untrust internet source,network,This policy identifies Network interfaces attached to RDS instances that are exposed to inbound traffic from any untrust internet source. RDS instances exposed to the internet are prone to external security threats. It is highly recommended to restrict network interfaces that are attached to the RDS instance to known hosts or services only.,Prisma_Cloud,high,eni-0ac6a063d2d3dce96,aws,362710435132,Wistron-PD-WiWall,AWS Oregon,"The following steps are recommended to restrict traffic from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the RDS database instance inside a restrictive subnet.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective RDS database instance.",open,"Sep 13, 2022 02.13 CST Asia/Taipei",,,,,,,eni-0ac6a063d2d3dce96
N-53728,AWS RDS managed ENI reachable from any untrust internet source,network,This policy identifies Network interfaces attached to RDS instances that are exposed to inbound traffic from any untrust internet source. RDS instances exposed to the internet are prone to external security threats. It is highly recommended to restrict network interfaces that are attached to the RDS instance to known hosts or services only.,Prisma_Cloud,high,eni-0e658cf48910c9185,aws,362710435132,Wistron-PD-WiWall,AWS Oregon,"The following steps are recommended to restrict traffic from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the RDS database instance inside a restrictive subnet.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective RDS database instance.",open,"Sep 13, 2022 02.13 CST Asia/Taipei",,,,,,,eni-0e658cf48910c9185
N-53625,AWS RDS managed ENI reachable from any untrust internet source,network,This policy identifies Network interfaces attached to RDS instances that are exposed to inbound traffic from any untrust internet source. RDS instances exposed to the internet are prone to external security threats. It is highly recommended to restrict network interfaces that are attached to the RDS instance to known hosts or services only.,Prisma_Cloud,high,eni-0186a4bb2f6f9ca58,aws,362710435132,Wistron-PD-WiWall,AWS Oregon,"The following steps are recommended to restrict traffic from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the RDS database instance inside a restrictive subnet.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective RDS database instance.",open,"Sep 13, 2022 02.13 CST Asia/Taipei",,,,,,,eni-0186a4bb2f6f9ca58
N-53623,AWS RDS managed ENI reachable from any untrust internet source,network,This policy identifies Network interfaces attached to RDS instances that are exposed to inbound traffic from any untrust internet source. RDS instances exposed to the internet are prone to external security threats. It is highly recommended to restrict network interfaces that are attached to the RDS instance to known hosts or services only.,Prisma_Cloud,high,eni-0c5510424b4989271,aws,362710435132,Wistron-PD-WiWall,AWS Oregon,"The following steps are recommended to restrict traffic from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the RDS database instance inside a restrictive subnet.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective RDS database instance.",open,"Sep 13, 2022 02.13 CST Asia/Taipei",,,,,,,eni-0c5510424b4989271
N-53723,AWS EC2 instance that is internet reachable with unrestricted access (0.0.0.0/0),network,"This policy identifies AWS EC2 instances that are internet reachable with unrestricted access (0.0.0.0/0). EC2 instances with unrestricted access to the internet may enable bad actors to use brute force on a system to gain unauthorised access to the entire network. As a best practice, restrict traffic from unknown IP addresses and limit the access to known hosts, services, or specific entities.",Prisma_Cloud,high,bali-pet,aws,186586636733,wistron_cto_wisleep_mc,AWS Ohio,"The following steps are recommended to restrict unrestricted access from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the instance inside a restrictive subnet if the instance does not need to be publicly accessible.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective instance.",open,"Sep 13, 2022 02.13 CST Asia/Taipei",,,,,,,i-0bf0f70e6a85d307f
